q,FM0p,FM0n,FPhipp0p,FPhipp0n
0.0,13.000000034508,14.000000037835,-0.930476658253,-0.834407275671
15.0,12.886959163371,13.877359094685,-0.924411430459,-0.829669982527
30.0,12.553007845906,13.515110220807,-0.906442893146,-0.815598763812
45.0,12.013340319965,12.929896833368,-0.877243448764,-0.792618857188
60.0,11.292003152147,12.148089952764,-0.837886967429,-0.761415176542
75.0,10.42025978233,11.203904426763,-0.789781075213,-0.722907784081
90.0,9.434423860287,10.137032029434,-0.734581820625,-0.678204152283
105.0,8.373513144592,8.990014878639,-0.674102305067,-0.628558629302
120.0,7.276792509203,7.805617793732,-0.610210287777,-0.575315596046
135.0,6.181638356367,6.624361093767,-0.544739191741,-0.519851458021
150.0,5.121572517021,5.482522829377,-0.479403575651,-0.463521328245
165.0,4.124896831039,4.410540944959,-0.415732909604,-0.407602781818
180.0,3.213744731727,3.432107076476,-0.355023439711,-0.353255066911
195.0,2.403676608743,2.563703643997,-0.298309825683,-0.301476186079
210.0,1.70377955109,1.81476477896,-0.246352984509,-0.253081899046
225.0,1.117078507354,1.188212483594,-0.199647649912,-0.208687680522
240.0,0.641358577008,0.681307089812,-0.158439775858,-0.168708282021
255.0,0.270142675928,0.28674868817,-0.12275575327,-0.13336370844
270.0,-0.006297449985,-0.006165123289,-0.092438358208,-0.102697307605
285.0,-0.199816082163,-0.210376702154,-0.067184192313,-0.076599126859
300.0,-0.32340538219,-0.339979480034,-0.046583024568,-0.054834117833
315.0,-0.390300963294,-0.409266681278,-0.030154409381,-0.037072199721
330.0,-0.413255132394,-0.431959850135,-0.017381086322,-0.022918292091
345.0,-0.403974864146,-0.420617581985,-0.007737219333,-0.011940400505
360.0,-0.372743082223,-0.386239323209,-0.000711949477,-0.003693922343
375.0,-0.328201511989,-0.338044621483,0.004173475455,0.002257873206
390.0,-0.277277581712,-0.283406506536,0.007353343642,0.006327942878
405.0,-0.225240195584,-0.227908179514,0.009210315079,0.008894347225
420.0,-0.175830906253,-0.175499501778,0.010072374333,0.010293007048
435.0,-0.131468432431,-0.128711333426,0.010213369829,0.010814429265
450.0,-0.09347832853,-0.088907337815,0.009855752469,0.010702943601
465.0,-0.062330767041,-0.056539408486,0.009175592584,0.010158876224
480.0,-0.037875269237,-0.031397253069,0.008308231238,0.009341768056
495.0,-0.019540427143,-0.012829759704,0.00735447576,0.00837488982
510.0,-0.006510146247,7.2690834e-05,0.006386598196,0.007350262258
525.0,0.002138769938,0.008326497921,0.005454074361,0.006333670519
540.0,0.007333148105,0.012947441204,0.004588490607,0.005369612208
555.0,0.009935575176,0.014874418795,0.003807911936,0.004485769694
570.0,0.010700385712,0.014925434316,0.003120432521,0.003697000805
585.0,0.010253986659,0.013775628463,0.002527029325,0.003008663203
600.0,0.009090615394,0.01195446411,0.002023869549,0.002419495791
615.0,0.007580701726,0.00985500044,0.001604069458,0.001923793412
630.0,0.005985359564,0.007750209929,0.001259013322,0.00151318882
645.0,0.004475125268,0.005813970932,0.000979344533,0.001177947978
660.0,0.003148793327,0.004142493125,0.000755663663,0.00090792131
675.0,0.002051891135,0.002774293568,0.000579007366,0.000693201258
690.0,0.001192740759,0.001708211034,0.000441147583,0.000524547672
705.0,0.000555740446,0.000918134306,0.000334767926,0.000393632399
720.0,0.000111830784,0.000364489825,0.000253525073,0.000293159987
735.0,-0.000173853356,2.652801e-06,0.000192046484,0.000216887658
750.0,-0.000336679953,-0.00021128463,0.000145879923,0.000159528152
765.0,-0.000409223038,-0.000317019051,0.00011140636,0.000116948869
780.0,-0.000419472747,-0.000348213753,8.5739593e-05,8.5507755e-05
795.0,-0.000390151567,-0.00033189868,6.6620659e-05,6.2500833e-05
810.0,-0.000338746971,-0.000288684639,5.2315306e-05,4.5771057e-05
825.0,-0.000278000928,-0.000233454438,4.1516098e-05,3.3657582e-05
840.0,-0.00021661938,-0.000176286295,3.3256061e-05,2.4901648e-05
855.0,-0.000160055982,-0.000123437962,2.6833642e-05,1.8563577e-05
870.0,-0.000111279724,-7.8282734e-05,2.1749841e-05,1.3952663e-05
885.0,-7.1461765e-05,-4.2136554e-05,1.7655239e-05,1.0569228e-05
900.0,-4.0555982e-05,-1.4945528e-05,1.4309253e-05,8.057047e-06
915.0,-1.7767335e-05,4.170074e-06,1.1546549e-05,6.166094e-06
930.0,-1.907194e-06,1.6506757e-05,9.253237e-06,4.722651e-06
945.0,8.34988e-06,2.3491767e-05,7.34882e-06,3.607333e-06
960.0,1.429577e-05,2.6493513e-05,5.773635e-06,2.738033e-06
975.0,1.7086668e-05,2.6714815e-05,4.480766e-06,2.057783e-06
990.0,1.7693089e-05,2.5142796e-05,3.430791e-06,1.594594e-06
1005.0,1.6887606e-05,2.2541433e-05,2.589005e-06,1.155442e-06
1020.0,1.5222601e-05,1.9411734e-05,1.923905e-06,8.25131e-07
1035.0,1.3220674e-05,1.6308421e-05,1.406769e-06,5.79109e-07
1050.0,1.0736379e-05,1.3304554e-05,1.05992e-06,4.46956e-07
