q,FM0p,FM0n,FPhipp0p,FPhipp0n
0.0,13.0000000469,14.000000020735,-0.815871540023,-0.878376678632
15.0,12.884874651525,13.873278563202,-0.810506927312,-0.873061902544
30.0,12.544825535763,13.499138131071,-0.794613788299,-0.857289061939
45.0,11.995372103591,12.895176321408,-0.768782370521,-0.831565758107
60.0,11.261192211612,12.089255848055,-0.733958032856,-0.796711521726
75.0,10.374331653123,11.117485613411,-0.691380864579,-0.753816135438
90.0,9.372046348366,10.0216721704,-0.642514192206,-0.70419276717
105.0,8.294342666744,8.846476879022,-0.588963209658,-0.649310535513
120.0,7.181545381713,7.636650547153,-0.532384410254,-0.590734040315
135.0,6.071994983979,6.434373399956,-0.474408239226,-0.530047591425
150.0,5.000083434646,5.277170784561,-0.416563010899,-0.468792611926
165.0,3.994799406027,4.196259232779,-0.360215754983,-0.408402949047
180.0,3.078704406145,3.215549129176,-0.306524388476,-0.350153652713
195.0,2.267568795424,2.351339771847,-0.256413862406,-0.295120165517
210.0,1.570373831166,1.612422915125,-0.210564240195,-0.244153731069
225.0,0.989864149468,1.000781447331,-0.169415094602,-0.197870657966
240.0,0.523333578865,0.512527502753,-0.133182612127,-0.156651631671
255.0,0.16360280486,0.139112072304,-0.101884703238,-0.120658714523
270.0,-0.099757899497,-0.131413796441,-0.075374693375,-0.089858452075
285.0,-0.279364291924,-0.313149870125,-0.053375226754,-0.06405334252
300.0,-0.388922318928,-0.421188261705,-0.035514431644,-0.042916837362
315.0,-0.44229547553,-0.470623526807,-0.021358948242,-0.026029157282
330.0,-0.452743241677,-0.475751368532,-0.010444018813,-0.012912011992
345.0,-0.432344421447,-0.449482313202,-0.00229856841,-0.003059487172
360.0,-0.391612180191,-0.402956447124,0.00353431168,0.004035228545
375.0,-0.339286031383,-0.345351687186,0.007482175179,0.008858882464
390.0,-0.282278369895,-0.283852760521,0.009932758878,0.011862467229
405.0,-0.225751529942,-0.223749962007,0.011227846585,0.013450788402
420.0,-0.173273485767,-0.168634915775,0.011660607267,0.01397658271
435.0,-0.127048022877,-0.120653271911,0.01147600486,0.013738611315
450.0,-0.088169966536,-0.080787212156,0.010873236801,0.012982742559
465.0,-0.056876285846,-0.049139404177,0.010009759868,0.011905270933
480.0,-0.032799783005,-0.025193084822,0.009006244628,0.010657812078
495.0,-0.015177055308,-0.008048044964,0.00795190278,0.009353033079
510.0,-0.003034512569,0.00339475418,0.006909875466,0.008070723187
525.0,0.004677624464,0.010287758938,0.005922293859,0.006863873878
540.0,0.008977948952,0.013730373558,0.005014944631,0.005764301227
555.0,0.010789518052,0.014704621363,0.004201273524,0.004787755171
570.0,0.010900847578,0.014039003507,0.003485798717,0.003938332757
585.0,0.009950768015,0.01239642737,0.002866869241,0.003212146074
600.0,0.008430174834,0.010279632405,0.002338842725,0.002600263498
615.0,0.006695231838,0.00804735103,0.001893759699,0.002090971188
630.0,0.004986160269,0.005936030552,0.001522540468,0.001671427643
645.0,0.003450052489,0.004084588775,0.001215845419,0.001328821848
660.0,0.002162396195,0.002558145624,0.000964635308,0.001051094882
675.0,0.001147427079,0.001369437076,0.000760513022,0.000827367716
690.0,0.000395345811,0.000497058498,0.000595905094,0.000648117934
705.0,-0.000123923004,-0.000100059799,0.000464130203,0.000505204861
720.0,-0.000450230658,-0.000471767405,0.000359397405,0.000391787478
735.0,-0.000625863157,-0.00066904418,0.000276751524,0.000302194828
750.0,-0.000690729218,-0.000739111227,0.000211999025,0.000231768039
765.0,-0.000679634842,-0.00072269239,0.000161624805,0.000176698095
780.0,-0.000621060088,-0.000652882579,0.000122709788,0.000133885614
795.0,-0.000536993425,-0.000555106644,9.2847511e-05,0.000100813147
810.0,-0.000443425945,-0.000447777312,7.0070456e-05,7.5435974e-05
825.0,-0.00035120214,-0.000343308086,5.2789183e-05,5.6099927e-05
840.0,-0.000267011408,-0.00024927995,3.9731397e-05,4.1471058e-05
855.0,-0.000194374086,-0.000169579454,2.9891161e-05,3.0478251e-05
870.0,-0.000134538947,-0.000105437641,2.2483071e-05,2.2269082e-05
885.0,-8.7237544e-05,-5.6310004e-05,1.6903013e-05,1.6171819e-05
900.0,-5.1289341e-05,-2.0585645e-05,1.2691803e-05,1.1663379e-05
915.0,-2.5058545e-05,3.870981e-06,9.505251e-06,8.341458e-06
930.0,-6.767886e-06,1.9340427e-05,7.087823e-06,5.90109e-06
945.0,5.287133e-06,2.7984511e-05,5.251067e-06,4.113637e-06
960.0,1.2624531e-05,3.1704963e-05,3.856135e-06,2.809632e-06
975.0,1.6520335e-05,3.2072383e-05,2.800142e-06,1.864173e-06
990.0,1.8001029e-05,3.0317195e-05,2.005933e-06,1.185372e-06
1005.0,1.7769853e-05,2.7355823e-05,1.414652e-06,7.05365e-07
1020.0,1.6699712e-05,2.3837371e-05,9.80457e-07,4.19177e-07
1035.0,1.4951014e-05,2.0196868e-05,7.51787e-07,2.15561e-07
1050.0,1.2925831e-05,1.6763666e-05,5.06596e-07,6.0679e-08
