q,FM0p,FM0n,FPhipp0p,FPhipp0n
0.0,12.999999960626,14.000000030629,-1.532683900826,-1.870207991094
15.0,12.89236257167,13.881545385108,-1.52321505834,-1.858733168642
30.0,12.574103194231,13.531466531434,-1.49513755709,-1.824703205605
45.0,12.058877231701,12.965238752508,-1.449414351836,-1.769268335113
60.0,11.368439305084,12.207416728729,-1.38758900201,-1.694278672936
75.0,10.531138756885,11.289980177765,-1.311703668222,-1.602183886924
90.0,9.580164079921,10.250187502349,-1.22418467207,-1.495897386049
105.0,8.551444043353,9.128196680773,-1.127719103056,-1.37865346464
120.0,7.481587077715,7.964630398531,-1.025117159538,-1.253846369038
135.0,6.405828575953,6.798375163447,-0.919187716132,-1.124873605304
150.0,5.356369257652,5.66460430357,-0.812613160528,-0.994992062878
165.0,4.360941626622,4.593319232589,-0.707847387303,-0.867191922082
180.0,3.441931581214,3.608352786577,-0.607036733342,-0.74409779629
195.0,2.615773636636,2.726886173144,-0.511960736412,-0.627897601782
210.0,1.892995261844,1.959458767307,-0.424005391415,-0.520303107385
225.0,1.278388085912,1.310399282132,-0.344152308504,-0.422537718712
240.0,0.7716654345,0.778494948513,-0.272996177596,-0.33535255872
255.0,0.368240486335,0.357997058075,-0.210773851394,-0.259060709161
270.0,0.060170799193,0.039622095537,-0.157409371879,-0.193590123337
285.0,-0.162907491917,-0.188345662162,-0.112565306918,-0.138545504723
300.0,-0.312809667642,-0.339034814621,-0.075698819392,-0.093275998732
315.0,-0.401961521024,-0.426067758339,-0.046117540231,-0.056943686259
330.0,-0.442659121119,-0.462785798823,-0.023032687074,-0.028588712969
345.0,-0.44648920971,-0.461645022273,-0.005607023739,-0.007188224064
360.0,-0.42390195689,-0.433780371184,0.007004365254,0.008292573599
375.0,-0.383934553428,-0.388741950599,0.015620066515,0.01885827799
390.0,-0.334075651651,-0.334367757422,0.021006423203,0.025451428551
405.0,-0.280253826789,-0.27679483347,0.023859497384,0.028929048104
420.0,-0.226909542399,-0.220557284085,0.024793660271,0.030048445113
435.0,-0.177145268462,-0.168760749199,0.024336006298,0.029459909512
450.0,-0.132911530882,-0.123295246951,0.022926226606,0.027706203768
465.0,-0.095220720382,-0.085067280054,0.020920308329,0.025226765743
480.0,-0.064353411536,-0.054231406729,0.018597118891,0.022365639904
495.0,-0.040061500628,-0.030408002165,0.016166964152,0.019381924678
510.0,-0.021745996464,-0.012865697825,0.013781121441,0.016461510249
525.0,-0.008601205221,-0.000686274454,0.011541737392,0.013729284473
540.0,0.000262628987,0.007119064499,0.009511379247,0.011261007452
555.0,0.005733418289,0.01151621397,0.007721924352,0.009094398715
570.0,0.008635822682,0.013388353271,0.006182429232,0.007238940094
585.0,0.009693498469,0.013499417176,0.004885861252,0.005684323977
600.0,0.009511155559,0.012478791706,0.003814641481,0.004407385222
615.0,0.008570710624,0.010820056701,0.002945067325,0.003377599263
630.0,0.007237573059,0.008890490321,0.002250640147,0.002561271663
645.0,0.00577400988,0.00694649081,0.001704510171,0.001924529291
660.0,0.004355341322,0.005152782924,0.001281119524,0.001435366055
675.0,0.003087452995,0.003601796751,0.000957229551,0.001064880309
690.0,0.002023621841,0.002332180724,0.000712467598,0.000787909705
705.0,0.001179517899,0.00134502254,0.000529502369,0.000583211914
720.0,0.000545931399,0.000617472439,0.000394048507,0.000433351054
735.0,9.8844922e-05,0.000113401177,0.000294317993,0.000324364285
750.0,-0.000192918004,-0.000208696503,0.000221331756,0.00024534412
765.0,-0.000362294856,-0.000390200983,0.000167934068,0.000187960815
780.0,-0.000440446344,-0.000468909512,0.000128749133,0.000145994717
795.0,-0.000454709146,-0.000477154528,9.9581186e-05,0.000115354601
810.0,-0.000427647658,-0.000441083954,7.8112907e-05,9.1465149e-05
825.0,-0.000376886949,-0.000380739488,6.1660271e-05,7.3399691e-05
840.0,-0.000315440559,-0.000310629909,4.8950818e-05,5.9162732e-05
855.0,-0.000252321467,-0.000240566092,3.8963264e-05,4.7713261e-05
870.0,-0.000193275885,-0.000176592159,3.0995387e-05,3.8358531e-05
885.0,-0.000141525994,-0.000121893388,2.4566129e-05,3.0639066e-05
900.0,-9.8455677e-05,-7.7612156e-05,1.934322e-05,2.4244909e-05
915.0,-6.4195473e-05,-4.353555e-05,1.5092991e-05,1.8958517e-05
930.0,-3.8095906e-05,-1.8640475e-05,1.1644116e-05,1.4617542e-05
945.0,-1.9086091e-05,-1.501316e-06,8.865167e-06,1.109075e-05
960.0,-5.930839e-06,9.423059e-06,6.649548e-06,8.265067e-06
975.0,2.599792e-06,1.5606432e-05,4.906727e-06,6.038261e-06
990.0,7.628032e-06,1.8350114e-05,3.557548e-06,4.31611e-06
1005.0,1.0156041e-05,1.8736447e-05,2.531826e-06,3.011834e-06
1020.0,1.0856455e-05,1.7621992e-05,1.767449e-06,2.046512e-06
1035.0,1.0463307e-05,1.5618405e-05,1.210076e-06,1.34993e-06
1050.0,9.404749e-06,1.3297569e-05,8.13038e-07,8.61155e-07
