q,FM0p,FM0n,FPhipp0p,FPhipp0n
0.0,12.999999955438,14.000000000466,-1.126571950977,-1.291786065365
15.0,12.884947139648,13.87372678589,-1.119242689911,-1.283806220007
30.0,12.545069290678,13.50084260884,-1.09752213046,-1.260131306873
45.0,11.995828318089,12.898791049742,-1.062202550347,-1.22155218983
60.0,11.26178459298,12.095151760641,-1.014548252467,-1.169333902964
75.0,10.374852480727,11.125703193728,-0.956220719348,-1.105160051488
90.0,9.372134326035,10.03189653994,-0.889188628191,-1.031044271012
105.0,8.293534147212,8.85806189094,-0.815613401896,-0.949231223444
120.0,7.179290472968,7.648668470542,-0.737738104397,-0.862090428936
135.0,6.067708645762,6.445731061876,-0.657776189156,-0.772008271595
150.0,4.99319403901,5.286683696516,-0.577817120053,-0.681284290425
165.0,3.984789669548,4.202762655026,-0.499740077469,-0.592042530524
180.0,3.06519367453,3.218038005254,-0.42515583963,-0.506154512178
195.0,2.250299432927,2.348995820016,-0.355365285712,-0.425185313187
210.0,1.549308994972,1.604724741856,-0.291343239594,-0.350359900079
225.0,0.965133230731,0.987519815513,-0.233741057129,-0.282551973366
240.0,0.495237960297,0.493808297229,-0.18290479928,-0.222290584434
255.0,0.132628276141,0.11535617262,-0.138907546024,-0.16978570253
270.0,-0.132993376258,-0.159539432571,-0.101590259042,-0.12496517298
285.0,-0.314141827233,-0.344766211172,-0.070606853044,-0.087521924395
300.0,-0.424464211645,-0.455281398868,-0.045470991044,-0.056964221975
315.0,-0.477808261104,-0.506109946569,-0.025600890614,-0.032667908697
330.0,-0.487459644496,-0.511551052305,-0.010360632793,-0.013925182508
345.0,-0.46556304126,-0.484577159012,0.000904480889,1.1099817e-05
360.0,-0.422726093654,-0.436446416655,0.008838188564,0.009889807289
375.0,-0.36780992658,-0.376491676357,0.014050465811,0.01643139032
390.0,-0.307863096872,-0.312075895246,0.017100805161,0.020305115527
405.0,-0.248187066753,-0.248680690021,0.018487463219,0.022113573901
420.0,-0.192486758712,-0.19008474228,0.018641820537,0.022383643235
435.0,-0.143090732492,-0.138604473485,0.017927116355,0.021562820674
450.0,-0.101200686174,-0.095369569834,0.016640512372,0.020020168835
465.0,-0.067137883434,-0.060600270474,0.015017727816,0.018050556576
480.0,-0.040594402468,-0.033864659779,0.013239389232,0.01588138925
495.0,-0.020843533363,-0.014311676003,0.011438374352,0.013680746791
510.0,-0.006922402307,-0.000862931635,0.009707373775,0.011566353344
525.0,0.002224004692,0.00763832175,0.008106489102,0.009614569934
540.0,0.007637447477,0.012318017595,0.00667013921,0.007869018754
555.0,0.01027494811,0.014198420794,0.005413390468,0.006348404283
570.0,0.010965367516,0.014157021893,0.004337272894,0.005053418751
585.0,0.010391055822,0.01290897759,0.003433275306,0.003972484394
600.0,0.009085670984,0.011008221224,0.00268688342,0.003086432335
615.0,0.007445095539,0.008860300987,0.002080363596,0.002372112214
630.0,0.005744860277,0.00674252624,0.001594771982,0.001805052675
645.0,0.00416115619,0.004827236094,0.001211398538,0.001361327115
660.0,0.002792959965,0.003205610014,0.000912705855,0.001018748455
675.0,0.001682236863,0.001909490211,0.000682885147,0.000757547412
690.0,0.000831770868,0.000930478797,0.000508127345,0.000560673701
705.0,0.000219769832,0.00023555665,0.000376687176,0.000413814148
720.0,-0.000188804315,-0.000220898762,0.000278804513,0.000305240578
735.0,-0.000434007191,-0.000488385945,0.000206534234,0.000225549945
750.0,-0.000555349799,-0.000614445255,0.000153540101,0.000167357565
765.0,-0.000588419671,-0.000641175782,0.000114856945,0.00012496695
780.0,-0.000563149,-0.000603548568,8.6665958e-05,9.4066203e-05
795.0,-0.000503276914,-0.000528987972,6.6079061e-05,7.1446245e-05
810.0,-0.000426579536,-0.000437791226,5.0950567e-05,5.4757233e-05
825.0,-0.000345560867,-0.000344029234,3.9711966e-05,4.2303229e-05
840.0,-0.000268357416,-0.000256661326,3.1238643e-05,3.2880209e-05
855.0,-0.000199690459,-0.000180684802,2.4736127e-05,2.5642052e-05
870.0,-0.000141762927,-0.00011819944,1.9652775e-05,2.000034e-05
885.0,-9.5031837e-05,-6.9328632e-05,1.5610836e-05,1.5548451e-05
900.0,-5.8852993e-05,-3.2965599e-05,1.2353873e-05,1.2004624e-05
915.0,-3.1961358e-05,-7.34732e-06,9.707761e-06,9.171784e-06
930.0,-1.2829816e-05,9.532958e-06,7.552391e-06,6.909266e-06
945.0,9.3865e-08,1.9649177e-05,5.802127e-06,5.112487e-06
960.0,8.241415e-06,2.4776852e-05,4.392103e-06,3.700492e-06
975.0,1.2849685e-05,2.6411899e-05,3.270008e-06,2.607443e-06
990.0,1.4934936e-05,2.574797e-05,2.391025e-06,1.777578e-06
1005.0,1.52994e-05,2.369285e-05,1.715271e-06,1.162473e-06
1020.0,1.4554469e-05,2.089229e-05,1.206671e-06,7.19612e-07
1035.0,1.3152709e-05,1.7842308e-05,8.32698e-07,4.44909e-07
1050.0,1.1419212e-05,1.4802561e-05,5.97971e-07,2.73201e-07
